row_index,파일명,파일형식,old_len,new_len,delta,status
7,고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf,pdf,2450,188975,186525,expanded
91,그랜드코리아레저(주)_2024년도 GKL  그룹웨어 시스템 구축 용역.hwp,hwp,2357,145742,143385,expanded
25,KOICA 전자조달_[긴급] [지문] [국제] 우즈베키스탄 열린 의정활동 상하원 .hwp,hwp,2351,127390,125039,expanded
38,서울특별시_2024년 지도정보 플랫폼 및 전문활용 연계 시스템 고도화 용.pdf,pdf,808,109883,109075,expanded
12,서울시립대학교_[사전공개] 학업성취도 다차원 종단분석 통합시스템 1차.pdf,pdf,220,105058,104838,expanded
69,한국철도공사 (용역)_[재공고][긴급][협상형]운행정보기록 자동분석시스.hwp,hwp,3556,105166,101610,expanded
24,한국농어촌공사_아세안+3 식량안보정보시스템(AFSIS) 3단계 협력(캄보디아.hwp,hwp,2389,103970,101581,expanded
39,재단법인경기도일자리재단_2025년 통합접수시스템 운영.hwp,hwp,3351,101497,98146,expanded
66,"서울특별시 여성가족재단_(재공고, 협상) 서울 디지털성범죄 안심지원센.hwp",hwp,4844,102637,97793,expanded
45,한국가스공사_[재공고]차세대 통합정보시스템(ERP) 구축.hwp,hwp,2114,99270,97156,expanded
2,한국생산기술연구원_EIP3.0 고압가스 안전관리 시스템 구축 용역.hwp,hwp,234,96235,96001,expanded
11,한국사학진흥재단_대학재정정보시스템(기본재산 및 기채 사후관리) 고.hwp,hwp,4026,97059,93033,expanded
32,울산광역시_2024년 버스정보시스템 확대 구축 및 기능개선 용역.hwp,hwp,15856,108313,92457,expanded
43,서영대학교 산학협력단_전문대학 혁신지원사업 서영대학교 차세대 교육.hwp,hwp,697,90742,90045,expanded
36,전북특별자치도 정읍시_정읍체육트레이닝센터 통합운영관리시스템 구.hwp,hwp,6937,96114,89177,expanded
67,국립중앙의료원_(긴급)「2024년도 차세대 응급의료 상황관리시스템 구축.hwp,hwp,4331,89519,85188,expanded
58,경기도 평택시_2024년도 평택시 버스정보시스템(BIS) 구축사업.hwp,hwp,536,79882,79346,expanded
92,한국산업단지공단_산단 안전정보시스템 1차 구축 용역.hwp,hwp,7094,86114,79020,expanded
49,중앙선거관리위원회_2025년도 행정정보시스템 위탁운영사업.hwp,hwp,2232,79157,76925,expanded
54,서민금융진흥원_서민금융진흥원 서민금융 채팅 상담시스템 구축.hwp,hwp,759,75871,75112,expanded
63,파주도시관광공사_종량제봉투 판매관리 전산시스템 개선사업.hwp,hwp,6343,81007,74664,expanded
52,한국어촌어항공단_한국어촌어항공단 경영관리시스템(ERP·GW) 기능 고도.hwp,hwp,5903,80179,74276,expanded
8,재단법인스포츠윤리센터_스포츠윤리센터 LMS(학습지원시스템) 기능개선.hwp,hwp,298,73985,73687,expanded
81,사단법인 보험개발원_실손보험 청구 전산화 시스템 구축 사업.hwp,hwp,8771,81085,72314,expanded
31,축산물품질평가원_축산물이력관리시스템 개선(정보화 사업).hwp,hwp,2123,73569,71446,expanded
62,한국농어촌공사_네팔 수자원관리 정보화사업-Pilot 시스템 구축용역.hwp,hwp,3686,74884,71198,expanded
19,전북대학교_JST 공유대학(원) xAPI기반 LRS시스템 구축.hwp,hwp,130,71109,70979,expanded
35,부산관광공사_경영정보시스템 기능개선.hwp,hwp,1203,71724,70521,expanded
87,한국수출입은행_(긴급) 모잠비크 마푸토 지능형교통시스템(ITS) 구축사업.hwp,hwp,666,70684,70018,expanded
10,(사）한국대학스포츠협의회_KUSF 체육특기자 경기기록 관리시스템 개발.hwp,hwp,3854,73174,69320,expanded
75,축산물품질평가원_꿀 품질평가 전산시스템 기능개선 사업.hwp,hwp,2404,71487,69083,expanded
18,고양도시관리공사_관산근린공원 다목적구장 홈페이지 및 회원 통합운영.hwp,hwp,1183,69928,68745,expanded
94,한국수자원조사기술원_수문자료정보관리시스템(HDIMS) 재구축 용역(3단계.hwp,hwp,3588,71406,67818,expanded
72,재단법인 광주연구원_광주정책연구아카이브(GPA) 시스템 개발.hwp,hwp,734,68244,67510,expanded
15,한국철도공사 (용역)_예약발매시스템 개량 ISMP 용역.hwp,hwp,1526,68900,67374,expanded
86,세종테크노파크_세종테크노파크 인사정보 전산시스템 구축 용역 입찰공.hwp,hwp,2386,67123,64737,expanded
42,한국연구재단_2024년 기초학문자료센터 시스템 운영 및 연구성과물 DB구.hwp,hwp,665,64832,64167,expanded
1,한국연구재단_2024년 대학산학협력활동 실태조사 시스템(UICC) 기능개선.hwp,hwp,2792,66174,63382,expanded
40,을지대학교_을지대학교 비교과시스템 개발.hwp,hwp,5039,68194,63155,expanded
30,인천광역시 동구_수도국산달동네박물관 전시해설 시스템 구축(협상에 .hwp,hwp,3665,66581,62916,expanded
85,경기도사회서비스원_2024년 통합사회정보시스템 운영지원.hwp,hwp,6201,68551,62350,expanded
34,한국재정정보원_e나라도움 업무시스템 웹 접근성 컨설팅.hwp,hwp,6203,68473,62270,expanded
88,문화체육관광부 국립민속박물관_2024년 국립민속박물관 민속아카이브 자.hwp,hwp,3279,64038,60759,expanded
47,국민연금공단_사업장 사회보험료 지원 고시 개정에 따른 정보시스템 보.hwp,hwp,401,61156,60755,expanded
14,한국수자원공사_건설통합시스템(CMS) 고도화.hwp,hwp,1075,61325,60250,expanded
44,한국농수산식품유통공사_농산물가격안정기금 정부예산회계연계시스템 .hwp,hwp,2237,62422,60185,expanded
20,한국보건산업진흥원_의료기기산업 종합정보시스템(정보관리기관) 기능.hwp,hwp,9007,69030,60023,expanded
89,한국보육진흥원_연차별 자율 품질관리 시스템 기능개선.hwp,hwp,2103,61554,59451,expanded
3,인천광역시_도시계획위원회 통합관리시스템 구축용역.hwp,hwp,3143,61861,58718,expanded
96,재단법인 광주광역시 광주문화재단_2024년 광주문화예술통합플랫폼 시스.hwp,hwp,5208,62931,57723,expanded
